Title	URL	Assignees	Status
edit 1974-12-14-tom-waits raw transcript	https://github.com/swdrop/vs-archive-project/issues/1	swdrop	Review
add 1974-12-14-tom-waits metadata to master spreadsheet	https://github.com/swdrop/vs-archive-project/issues/4	swdrop	To Do
upload preliminary inventory spreadsheet to repo	https://github.com/swdrop/vs-archive-project/issues/3	swdrop	To Do
select second interview to add to list	https://github.com/swdrop/vs-archive-project/issues/2	swdrop	To Do
delete temporary filler files	https://github.com/swdrop/vs-archive-project/issues/5	swdrop	In Progress
